theme,school,army,address,web,phone
경기,아주대,139학군단,경기도 수원시 영통구 원천동 월드컵로 206,http://rotc.ajou.ac.kr/rotc/index.jsp,031-219-2233
경기,용인대,203학군단,경기도 용인시 처인구 삼가동 용인대학로 134,https://www.yongin.ac.kr/cmn/wvtex/nibr/studyEdu/RNE_0000000000000016/studyEduMain.do,031-8020-3480
경기,중앙대,111학군단,경기도 안성시 대덕면 서동대로 4726,https://rotc.cau.ac.kr/,02-820-6260
경기,중앙대(안성),1111학군단,경기도 안성시 대덕면 서동대로 4726,https://www.cau.ac.kr/cms/FR_CON/index.do?MENU_ID=1440,031-670-3568
경기,평택대,216학군단,경기도 평택시 비전2동 서동대로 3825번지,https://rotc.ptu.ac.kr/rotc/index.html,031-659-8504
경기,한양대(안산),1151학군단,경기도 안산시 상록구 사3동 한양대학로 55,https://www.hanyang.ac.kr/web/www/-rotc-,031-400-4522
경남,경남과기대,219학군단,경상남도 진주시 칠암동 동진로 33,https://www.facebook.com/gnu219rotc/,055-751-3761
경남,경남대,141학군단,경상남도 창원시 마산합포구 경남대학로 7,https://www.kyungnam.ac.kr/sites/ko/index.do,055-249-2871
경남,경상대,126학군단,경상남도 진주시 진주대로 501,http://rotc.gnu.ac.kr/main/,055-772-2701
경남,부산대,110학군단,경상남도 밀양시 삼랑진읍 삼랑진로 1268-50,https://110rotc.pusan.ac.kr/110rotc/index.do,051-510-1896
경남,인제대,173학군단,경상남도 김해시 활천동 인제로 197 KR,https://www.inje.ac.kr/kor/campus-life/military-03.asp,055-230-3077
경남,창원대,165학군단,경상남도 창원시 의창구 사림동 창원대학로 20,https://www.changwon.ac.kr/rotc165/main.do,055-213-2585
경북,금오공대,152학군단,경상북도 구미시 거의동 대학로 61,https://rotc.kumoh.ac.kr/rotc/index.do,054-478-7275
경북,대구가톨릭,212학군단,경상북도 경산시 하양읍 하양로 13-13,https://www.facebook.com/pages/category/Armed-Forces/%EB%8C%80%EA%B5%AC%EA%B0%80%ED%86%A8%EB%A6%AD%EB%8C%80%ED%95%99%EA%B5%90-%ED%95%99%EA%B5%B0%EB%8B%A8-106593924294491/,053-850-2693
경북,대구대,145학군단,경상북도 경산시 진량읍 대구대로 201,https://rotc145.daegu.ac.kr/hakgwa_home/rotc145/sub.php?menu=page&menu_id=1010,053-850-5781
경북,대구한의대,198학군단,경상북도 경산시 한의대로 1,http://www.dhu.ac.kr/HOME/rotc/index.htm,053-819-1181
경북,동국대(경주),1121학군단,경상북도 경주시 석장동 707,https://rotc.dongguk.ac.kr/,054-770-2537
경북,동양대,213학군단,경상북도 영주시 풍기읍 동양대로 145,http://ipsi.dyu.ac.kr/,054-630-1396
경북,안동대,161학군단,경상북도 안동시 용상동 경동로 1375,https://www.andong.ac.kr/main/html.do?menu_idx=112,054-820-7481
경북,영남대,121학군단,경상북도 경산시 조영동 대학로 280,http://rotc121.yu.ac.kr/index.jsp,053-810-3712
광주,광주대,221학군단,광주광역시 남구 효덕동 효덕로 277,https://www.gwangju.ac.kr/page/?site=gwangju&mn=528,062-670-2205
광주,전남대,105학군단,광주광역시 북구 용봉동 용봉로 77,https://www.jnu.ac.kr/MainUniLife/UniInfor/Military/guide,062-530-0534
광주,조선대,118학군단,광주광역시 동구 서석동 필문대로 309 조선대학교,http://www.chosun.ac.kr/user/indexMain.do?siteId=rotc,062-230-7251
광주,호남대,193학군단,광주광역시 광산구 어룡동 어등대로 417,https://www.honam.ac.kr/StuMilitaryEduTeam,062-940-5634
대구,경북대,109학군단,대구광역시 북구 산격동 대학로 80,https://www.knu.ac.kr/wbbs/wbbs/bbs/btin/viewBtin.action?bbs_cde=1&btin.bbs_cde=1&btin.doc_no=1323180&btin.appl_no=000000&btin.page=1&btin.search_type=&btin.search_text=&popupDeco=false&btin.note_div=row&menu_idx=67,053-950-6794
대구,계명대,138학군단,대구광역시 달서구 달구벌대로 1095,https://newcms.kmu.ac.kr/1380rotc/index..do,053-580-5491
대전,대전대,168학군단,대전광역시 동구 용운동 대학로 62,https://www.dju.ac.kr/dju/ct/cttpc/cttpcSearch.do?deptId=1035,042-280-2792
대전,목원대,169학군단,대전광역시 서구 가수원동 도안북로 88,https://www.mokwon.ac.kr/kr/html/sub03/030704.html,042-829-7283
대전,배재대,170학군단,대전광역시 서구 도마동 배재로 155-40,https://170rotc.pcu.ac.kr/,042-520-5492
대전,우송대,223학군단,대전광역시 동구 자양동 백룡로57번길 27,https://www.wsu.ac.kr/page/index.jsp?code=campus0601,042-630-4603
대전,충남대,116학군단,대전광역시 유성구 어은동 대학로 99,https://plus.cnu.ac.kr/html/kr/,042-821-6102
대전,한남대,146학군단,대전광역시 대덕구 오정동 한남로 70,http://www.hannam.ac.kr/life/life_0302_03.html,042-629-7826
대전,한밭대,210학군단,대전광역시 유성구 덕명동 동서대로 125,https://www.hanbat.ac.kr/kor/sub06_1102.do,042-821-1921
부산,경성대,149학군단,부산광역시 남구 대연동 수영로 309,https://cms1.ks.ac.kr/kor/Contents.do?mCode=MN1130,051-663-5471
부산,동명대,215학군단,부산광역시 남구 용당동 신선로 428,http://rotc.tu.ac.kr/default/main/main.jsp,051-629-3651
부산,동아대,117학군단,부산광역시 사하구 하단2동 낙동대로550번길 37,http://117rotc.donga.ac.kr/sites/117rotc/index.do,051-200-6571
부산,동의대,148학군단,부산광역시 부산진구 가야3동 엄광로 176,https://www.deu.ac.kr/www/content/174,051-890-1799
부산,부경대,157학군단,부산광역시 남구 신선로 365,https://cms.pknu.ac.kr/arotc157/main.do,051-629-6956
부산,부산외대,199학군단,부산광역시 금정구 금샘로 485번길 65,https://rotc.bufs.ac.kr/rotc/,051-640-3393
서울,가톨릭대,207학군단,서울특별시 종로구 혜화동 창경궁로 296-12,https://cukadmin.catholic.ac.kr/rotc/index.html,02-2164-4232
서울,건국대,113학군단,서울특별시 광진구 자양동 능동로 120,http://www.konkuk.ac.kr/do/Index.do,02-447-5448
서울,경기대,122학군단,서울특별시 서대문구 충정로2가 경기대로9길 24,http://www.kyonggi.ac.kr/KyonggiTpSrv.kgu?cxt=122rotc,031-249-8955
서울,경희대,108학군단,서울특별시 동대문구 회기동 경희대로 26,https://www.khu.ac.kr/kor/sub/tab.do?MENU_SEQ=192&TAB_SEQ=2105882,02-961-0085
서울,고려대,102학군단,서울특별시 성북구 안암동 안암로 145,https://kucms.korea.ac.kr/rotc102/index.do,02-3290-1703
서울,광운대,142학군단,서울특별시 노원구 월계1동 광운로 20,https://m.kw.ac.kr/ko/department/affiliated_etc03.jsp,02-940-5462
서울,국민대,129학군단,서울특별시 성북구 정릉동 정릉로 77,https://www.kookmin.ac.kr/comm/menu/user/0f4599e39a8b492a409322ac8e60f140/content/index.do,02-914-6611
서울,동국대,112학군단,서울특별시 중구 장충동 필동로1길 30,https://rotc.dongguk.ac.kr/,02-2260-8537
서울,서강대,131학군단,서울특별시 마포구 대흥동 백범로 35,http://www.sogang.ac.kr/index.do,02-705-8237
서울,서경대,206학군단,서울특별시 성북구 정릉동 서경로 124,https://rotc.skuniv.ac.kr/,02-940-7632
서울,서울과기대,201학군단,서울특별시 노원구 공릉동 공릉로 232,https://rotc.seoultech.ac.kr/,02-970-9274
서울,서울대,101학군단,서울특별시 관악구 관악로 1,https://www.snu.ac.kr/,02-880-5203
서울,성균관대,103학군단,서울특별시 종로구 명륜3가동 성균관로 25-2,https://www.skku.edu/skku/campus/support/rotc.do,02-760-1306
서울,성신여대,218학군단,서울특별시 성북구 돈암동 보문로34다길 2,https://www.sungshin.ac.kr/rotc/index.do,02-920-2181
서울,세종대,162학군단,서울특별시 광진구 능동로 209 (군자동),http://www.sejong.ac.kr/unilife/military_03.html?menu_id=1.8,02-3408-3402
서울,숙명여대,217학군단,서울특별시 용산구 청파동2가 청파로47길 100,http://rotc.sookmyung.ac.kr/,02-2077-7911
서울,숭실대,136학군단,서울시 동작구 상도로 369,http://136rotc.co.kr/,02-820-6977
서울,시립대,143학군단,서울특별시 동대문구 전농동 서울시립대로 163,https://rotc.uos.ac.kr/,02-6490-5194
서울,연세대,107학군단,서울특별시 서대문구 신촌동 연세로 50,https://www.yonsei.ac.kr/wj/campus/etc1.jsp,02-2123-3677
서울,이화여대,225학군단,서울특별시 서대문구 대현동 이화여대길 52,http://my.ewha.ac.kr/hsk13068/,02-3277-6027
서울,한국외국어대,119학군단,서울특별시 동대문구 이문동 이문로 107,http://www.hufs.ac.kr/user/indexSub.action?codyMenuSeq=37145&siteId=hufs&menuType=T&uId=4&sortChar=AD&linkUrl=04_0430.html&mainFrame=right,02-2173-2595
서울,한성대,196학군단,서울특별시 성북구 삼선동 삼선교로16길 116,https://www.hansung.ac.kr/hansung/1803/subview.do,02-760-4178
서울,한양대,115학군단,서울 성동구 왕십리로 222,https://www.hanyang.ac.kr/web/www/-rotc-,02-2220-1533
서울,홍익대,133학군단,서울특별시 마포구 상수동 와우산로 94,https://home.hongik.ac.kr/facilities/facilities_2_18.php,02-320-1433
세종,고려대(세종),1021학군단,세종특별자치시 세종로 2511,https://sejong.korea.ac.kr/campuslife/support/rotc,044-860-1861
세종,홍익대(세종),1331학군단,세종특별자치시 조치원읍 세종로 2639,https://sejong.hongik.ac.kr/contents/www/cor/attachedd_12.html,044-860-2895
울산,울산대,140학군단,울산광역시 남구 무거동 대학로 93,http://140rotc.ulsan.ac.kr/main.do,052-259-2652
인천,경인교대,176학군단,인천광역시 계양구 계산1동 계산로 62,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN113,032-540-1191
인천,인천대,132학군단,인천광역시 연수구 송도1동 아카데미로 119,http://www.inu.ac.kr/mbshome/mbs/inu/subview.do?id=inu_050105010000,032-835-4201
인천,인하대,120학군단,인천광역시 남구 용현1.4동 인하로 100,https://rotc.inha.ac.kr/user/rotc/,032-860-8332
전남,동신대,172학군단,전라남도 나주시 대호동 동신대길 67 동신대학교,https://rotc.dsu.ac.kr/rotc/,061-334-0628
전남,목포대,160학군단,전라남도 무안군 청계면 영산로 1666 KR,http://160rotc.mokpo.ac.kr/,061-450-2971
전남,순천대,159학군단,전라남도 순천시 석현동 중앙로 255,https://www.scnu.ac.kr/scnurotc/main.do,061-750-3983
전남,전남대(여수),1051학군단,전라남도 여수시 둔덕동 대학로 50,https://www.jnu.ac.kr/MainUniLife/UniInfor/Military/guide,061-659-6530
전북,군산대,155학군단,전라북도 군산시 미룡동 대학로 558,전라북도 군산시 미룡동 대학로 558,063-469-4975
전북,우석대,153학군단,전라북도 완주군 삼례읍 삼례로 443,https://153rotc.woosuk.ac.kr/,063-290-1198
전북,원광대,128학군단,전라북도 익산시 신동 익산대로 460,https://rotc128.wku.ac.kr/,063-850-5588
전북,전북대,106학군단,전라북도 전주시 덕진구 금암1동 백제대로 567,https://www.jbnu.ac.kr/kor/?menuID=51,063-270-3618
전북,전주대,144학군단,전라북도 전주시 완산구 효자동3가 천잠로 303,https://www.jj.ac.kr/jj/campuslife/rotc.jsp,063-220-2492
충남,건양대,200학군단,충청남도 논산시 내동 30-1,https://rotc.konyang.ac.kr/rotc.do,041-730-5278
충남,공주대,135학군단,충청남도 공주시 공주대학로 56 KR,https://www.kongju.ac.kr/main11.jsp,041-850-8766
충남,남서울대,222학군단,충청남도 천안시 서북구 성환읍 대학로 91,https://www.nsu.ac.kr/?m1=page%25&menu_id=137%25,041-580-3201
충남,단국대(천안),1251학군단,충청남도 천안시 동남구 신안동 단대로 119,https://cms.dankook.ac.kr/web/1251rotcarmy,041-550-1281
충남,백석대,209학군단,충청남도 천안시 안서동 115 KR,https://community.bu.ac.kr/209rotc/index.do,041-550-2912
충남,상명대,202학군단,충청남도 천안시 동남구 신안동 상명대길 31,https://www.smu.ac.kr/202/index.do,02-2287-5459
충남,상명대(천안),2021학군단,충청남도 천안시 동남구 신안동 상명대길 31,https://www.smu.ac.kr/rotc2021/index.do,041-550-5421
충남,선문대,211학군단,충청남도 아산시 탕정면 선문로221번길 70 KR 선문대학교,https://rotc.sunmoon.ac.kr/,041-530-2661
충남,순천향대,167학군단,충청남도 아산시 신창면 순천향로 22 KR,http://167rotc.wo.ro/,041-530-1435
충남,호서대,166학군단,충청남도 천안시 동남구 신안동 호서대길 12,http://rotc.hoseo.ac.kr/CmsHome/rotc_03.eznic,041-540-5404
충북,건국대(글로컬),1131학군단,충청북도 충주시 달천동 충원대로 268,https://rotc.kku.ac.kr/main.do,043-840-3814
충북,교원대,150학군단,충청북도 청주시 흥덕구 강내면 태성탑연로 250,https://rotc.knue.ac.kr/index.php,043-230-3861
충북,서원대,195학군단,충청북도 청주시 서원구 모충동 무심서로 377-3,https://www.seowon.ac.kr/195rotc/index.do,043-299-8181
충북,세명대,183학군단,충청북도 제천시 신월동 세명로 65,http://www.semyung.ac.kr/kor/sub05_08_02_01.do,043-649-1377
충북,청주대,137학군단,충청북도 청주시 청원구 대성로 298 KR,https://www.cju.ac.kr/rotc/index.do,043-229-8831
충북,충북대,123학군단,충청북도 청주시 서원구 성화.개신.죽림동 충대로 1,https://www.chungbuk.ac.kr/site/www/sub.do?key=1632,043-261-3092
